"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
1,64,52.109375,0.0500992063492064,0.509433962264151,0.00160994007381245,38,1,"doublewell",1000,25132
3,44,51.7272727272727,0.0465116279069767,0.485894941634241,0.000785033686628363,38,1,"mutualistic",1000,25132
5,62,50.4032258064516,0.0576414595452142,0.505822784810127,0.00154139770152199,38,1,"mutualistic",1000,25132
5,62,50.4032258064516,0.0576414595452142,0.505822784810127,0.00154139770152199,38,1,"genereg",1000,25132
5,62,50.4032258064516,0.0576414595452142,0.505822784810127,0.00154139770152199,38,2,"SIS",1000,25132
6,60,51.9166666666667,0.0508474576271186,0.503528225806452,0.0014508456283402,38,1,"mutualistic",1000,25132
6,60,51.9166666666667,0.0508474576271186,0.503528225806452,0.0014508456283402,38,1,"genereg",1000,25132
6,60,51.9166666666667,0.0508474576271186,0.503528225806452,0.0014508456283402,38,1,"SIS",1000,25132
7,45,49.6444444444444,0.0434343434343434,0.488031265266243,0.000854431997245085,38,4,"genereg",1000,25132
7,45,49.6444444444444,0.0434343434343434,0.488031265266243,0.000854431997245085,38,2,"doublewell",1000,25132
8,47,49.7872340425532,0.0499537465309898,0.485658726300438,0.000927575770727361,38,3,"genereg",1000,25132
8,47,49.7872340425532,0.0499537465309898,0.485658726300438,0.000927575770727361,38,1,"mutualistic",1000,25132
8,47,49.7872340425532,0.0499537465309898,0.485658726300438,0.000927575770727361,38,1,"SIS",1000,25132
11,44,51.3181818181818,0.0517970401691332,0.487079473427596,0.000766783273524487,38,1,"mutualistic",1000,25132
11,44,51.3181818181818,0.0517970401691332,0.487079473427596,0.000766783273524487,38,1,"doublewell",1000,25132
12,53,51.188679245283,0.0544267053701016,0.496767777225261,0.00111068431884739,38,1,"SIS",1000,25132
13,51,52.7647058823529,0.0682352941176471,0.495044598612488,0.00096802633116716,38,1,"doublewell",1000,25132
13,51,52.7647058823529,0.0682352941176471,0.495044598612488,0.00096802633116716,38,1,"mutualistic",1000,25132
14,51,50.9019607843137,0.0564705882352941,0.496520874751491,0.00101927564026872,38,1,"genereg",1000,25132
14,51,50.9019607843137,0.0564705882352941,0.496520874751491,0.00101927564026872,38,2,"doublewell",1000,25132
15,54,52.0555555555556,0.0454227812718379,0.500751879699248,0.00113105553909208,38,3,"SIS",1000,25132
15,54,52.0555555555556,0.0454227812718379,0.500751879699248,0.00113105553909208,38,1,"doublewell",1000,25132
15,54,52.0555555555556,0.0454227812718379,0.500751879699248,0.00113105553909208,38,1,"mutualistic",1000,25132
16,53,51.6603773584906,0.0406386066763425,0.496274217585693,0.00112454155597431,38,1,"doublewell",1000,25132
16,53,51.6603773584906,0.0406386066763425,0.496274217585693,0.00112454155597431,38,1,"mutualistic",1000,25132
17,39,50.7435897435897,0.0418353576248313,0.475714285714286,0.000636482877561996,37,2,"SIS",1000,25132
17,39,50.7435897435897,0.0418353576248313,0.475714285714286,0.000636482877561996,37,2,"doublewell",1000,25132
17,39,50.7435897435897,0.0418353576248313,0.475714285714286,0.000636482877561996,37,1,"mutualistic",1000,25132
17,39,50.7435897435897,0.0418353576248313,0.475714285714286,0.000636482877561996,37,1,"genereg",1000,25132
18,44,51.4090909090909,0.0507399577167019,0.487317073170732,0.000777009666323631,38,1,"SIS",1000,25132
18,44,51.4090909090909,0.0507399577167019,0.487317073170732,0.000777009666323631,38,1,"mutualistic",1000,25132
19,61,50.1967213114754,0.0442622950819672,0.504800404244568,0.00153567271717588,38,1,"SIS",1000,25132
19,61,50.1967213114754,0.0442622950819672,0.504800404244568,0.00153567271717588,38,1,"doublewell",1000,25132
20,55,52.8,0.0606060606060606,0.501003009027081,0.00112186817139873,38,1,"SIS",1000,25132
22,47,50.4468085106383,0.0490286771507863,0.491392031480571,0.000883842422191263,38,3,"genereg",1000,25132
23,62,50.6612903225806,0.0507667900581703,0.504545454545455,0.00157090571182553,38,2,"SIS",1000,25132
23,62,50.6612903225806,0.0507667900581703,0.504545454545455,0.00157090571182553,38,1,"genereg",1000,25132
23,62,50.6612903225806,0.0507667900581703,0.504545454545455,0.00157090571182553,38,2,"doublewell",1000,25132
23,62,50.6612903225806,0.0507667900581703,0.504545454545455,0.00157090571182553,38,1,"mutualistic",1000,25132
24,56,51.9285714285714,0.05,0.500751879699248,0.0012461705805618,38,2,"SIS",1000,25132
24,56,51.9285714285714,0.05,0.500751879699248,0.0012461705805618,38,1,"mutualistic",1000,25132
25,63,52.6190476190476,0.0593958013312852,0.505566801619433,0.00146070956904765,38,3,"doublewell",1000,25132
26,62,50.5806451612903,0.0475938656795346,0.504545454545455,0.00158184080001815,38,1,"mutualistic",1000,25132
26,62,50.5806451612903,0.0475938656795346,0.504545454545455,0.00158184080001815,38,2,"SIS",1000,25132
27,55,51.7636363636364,0.0491582491582492,0.50175791059769,0.00119561422578072,38,5,"doublewell",1000,25132
27,55,51.7636363636364,0.0491582491582492,0.50175791059769,0.00119561422578072,38,2,"mutualistic",1000,25132
27,55,51.7636363636364,0.0491582491582492,0.50175791059769,0.00119561422578072,38,1,"SIS",1000,25132
28,51,50.7254901960784,0.043921568627451,0.499000999000999,0.00111198814871571,38,1,"genereg",1000,25132
28,51,50.7254901960784,0.043921568627451,0.499000999000999,0.00111198814871571,38,1,"doublewell",1000,25132
29,44,52.8181818181818,0.0570824524312896,0.488269794721408,0.00071630038587956,38,2,"doublewell",1000,25132
29,44,52.8181818181818,0.0570824524312896,0.488269794721408,0.00071630038587956,38,1,"mutualistic",1000,25132
